clave,valor,price
88.0,['Strategy'],4.99
89.0,['Casual'],2.99
90.0,['Action'],2.99
91.0,['Action'],9.99
92.0,['Action'],2.99
93.0,['Racing'],4.99
94.0,['Action'],4.99
95.0,"['Action', 'Adventure']",12.99
96.0,['Action'],19.99
97.0,['Strategy'],12.99
98.0,['Casual'],12.99
99.0,"['RPG', 'Casual', 'Adventure']",9.99
100.0,['Strategy'],4.99
101.0,"['Action', 'Adventure', 'Strategy']",6.99
102.0,['Racing'],0.0
103.0,['Action'],0.0
104.0,['Action'],9.99
105.0,['Simulation'],9.99
106.0,['Action'],9.99
107.0,"['Action', 'Adventure']",6.99
108.0,['Action'],9.99
109.0,"['Simulation', 'Strategy']",19.99
110.0,['Action'],9.99
111.0,['Action'],9.99
112.0,['Action'],9.99
113.0,"['Casual', 'Indie']",9.99
114.0,['Action'],9.99
115.0,['Action'],5.99
116.0,['Action'],7.99
117.0,['Action'],9.99
118.0,['Simulation'],9.99
119.0,"['Casual', 'Simulation']",4.99
120.0,['Casual'],2.99
121.0,['Casual'],19.99
122.0,['Casual'],2.99
123.0,['Casual'],14.99
124.0,['Casual'],9.99
125.0,['Casual'],4.99
126.0,['Casual'],9.99
127.0,['Simulation'],9.99
128.0,['Casual'],9.99
129.0,"['Action', 'Adventure']",9.99
130.0,['Simulation'],9.99
131.0,['Simulation'],9.99
132.0,['Simulation'],4.99
133.0,['Adventure'],9.99
134.0,['Racing'],9.99
135.0,['Adventure'],9.99
136.0,['Racing'],9.99
137.0,['Simulation'],9.99
138.0,['Casual'],9.99
139.0,['Adventure'],9.99
140.0,['Sports'],9.99
141.0,"['Adventure', 'RPG']",9.99
142.0,"['Adventure', 'Indie']",9.99
143.0,"['Simulation', 'Strategy']",9.99
144.0,"['Action', 'Indie']",9.99
145.0,['Racing'],9.99
146.0,['Adventure'],9.99
147.0,['Adventure'],9.99
148.0,['Racing'],9.99
149.0,['Strategy'],9.99
150.0,['Strategy'],9.99
151.0,['Strategy'],9.99
152.0,"['Action', 'RPG']",9.99
153.0,['Action'],9.99
154.0,['Action'],0.0
155.0,['Strategy'],9.99
156.0,"['Action', 'RPG']",4.99
157.0,['Indie'],7.99
158.0,['Racing'],4.99
159.0,"['Strategy', 'Simulation']",19.99
160.0,['Strategy'],2.99
161.0,['Action'],2.99
162.0,"['Action', 'Adventure']",7.99
163.0,"['Simulation', 'Strategy']",4.99
164.0,"['RPG', 'Strategy']",4.99
165.0,['Action'],4.99
166.0,"['Indie', 'Casual']",9.99
167.0,['Racing'],19.99
168.0,['Strategy'],19.99
169.0,['Action'],4.99
170.0,['Strategy'],9.99
171.0,['Strategy'],9.99
172.0,['Casual'],2.99
173.0,['Action'],2.49
174.0,['Casual'],19.99
175.0,['Indie'],9.99
176.0,"['Action', 'Simulation', 'Strategy']",19.99
177.0,['Action'],9.99
178.0,"['Casual', 'Indie']",9.99
179.0,"['Indie', 'Casual', 'Sports']",9.99
180.0,"['Action', 'Adventure']",4.99
181.0,['Action'],4.99
182.0,"['Action', 'Indie', 'Strategy']",9.99
183.0,['Simulation'],9.99
184.0,['Simulation'],9.99
185.0,['Simulation'],19.99
186.0,['Simulation'],9.99
187.0,['Simulation'],9.99
188.0,['Simulation'],4.99
189.0,['Simulation'],9.99
190.0,['Action'],15.99
192.0,['RPG'],4.99
193.0,"['Action', 'Adventure']",19.99
194.0,"['Indie', 'Strategy']",14.99
195.0,['Action'],9.99
196.0,"['Strategy', 'Indie']",4.99
197.0,"['Indie', 'Strategy']",4.99
198.0,"['Action', 'Indie']",4.99
199.0,['Strategy'],4.99
200.0,"['Action', 'Adventure', 'Strategy']",4.99
201.0,['Strategy'],4.99
202.0,['Action'],4.99
203.0,"['Action', 'Adventure', 'Indie']",4.99
204.0,['Action'],9.99
205.0,['RPG'],19.99
206.0,"['Casual', 'Strategy']",9.99
207.0,"['Indie', 'Simulation']",19.99
208.0,['Racing'],9.99
209.0,['Action'],14.99
210.0,"['Action', 'Indie']",7.99
211.0,"['Action', 'Indie']",9.99
212.0,"['Action', 'Indie']",4.99
213.0,"['Casual', 'Indie']",9.99
214.0,['Indie'],5.99
215.0,"['Simulation', 'Strategy']",2.99
216.0,['Casual'],4.99
217.0,"['RPG', 'Massively Multiplayer']",9.99
218.0,"['RPG', 'Massively Multiplayer']",19.99
219.0,"['RPG', 'Massively Multiplayer']",9.99
220.0,"['Massively Multiplayer', 'RPG']",0.0
221.0,['Casual'],4.99
222.0,['Casual'],19.99
223.0,['RPG'],0.0
224.0,['Strategy'],9.99
225.0,"['Action', 'Adventure', 'RPG']",1.25
226.0,"['Action', 'Indie']",1.25
227.0,['Indie'],4.99
228.0,"['RPG', 'Strategy']",9.99
229.0,"['Casual', 'Simulation']",14.99
230.0,['Racing'],4.99
231.0,"['RPG', 'Strategy']",19.99
232.0,"['RPG', 'Strategy']",19.99
233.0,"['Indie', 'Simulation', 'Strategy']",19.99
234.0,"['Action', 'Simulation']",29.99
235.0,"['Action', 'Adventure']",14.99
236.0,"['Adventure', 'Indie']",9.99
237.0,['Strategy'],9.99
238.0,['RPG'],9.99
239.0,['RPG'],9.99
240.0,['Adventure'],9.99
241.0,['Simulation'],1.25
242.0,['Simulation'],6.99
243.0,['Strategy'],9.99
244.0,['Action'],2.99
245.0,['Adventure'],4.99
246.0,['Adventure'],4.99
247.0,['Adventure'],14.99
249.0,"['Casual', 'Indie']",19.99
250.0,"['Simulation', 'Sports']",4.99
251.0,['Adventure'],4.99
252.0,['Action'],4.99
253.0,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",14.99
254.0,['Adventure'],14.99
255.0,['Action'],19.99
256.0,['Action'],4.99
257.0,['Adventure'],9.99
258.0,"['Action', 'Adventure']",9.99
259.0,['Adventure'],4.99
260.0,['Strategy'],9.99
261.0,"['Action', 'Racing']",6.99
262.0,['Adventure'],6.99
263.0,['Adventure'],6.99
264.0,['Sports'],6.99
266.0,['Action'],9.99
267.0,['Adventure'],19.99
268.0,['Action'],19.99
269.0,"['Action', 'Casual']",9.99
270.0,"['Simulation', 'Strategy']",5.99
271.0,['Casual'],5.99
272.0,['Action'],9.99
273.0,"['Action', 'Adventure']",5.99
274.0,['Action'],19.99
275.0,"['Action', 'Indie']",9.99
276.0,"['Adventure', 'RPG']",12.99
277.0,"['Indie', 'Casual']",9.99
278.0,['RPG'],6.99
279.0,['Strategy'],0.0
280.0,['Action'],9.99
281.0,"['Action', 'Adventure']",19.99
282.0,['Adventure'],19.99
283.0,['Casual'],19.99
284.0,['Casual'],7.99
285.0,"['Adventure', 'Indie']",9.99
286.0,['Action'],6.99
287.0,"['Action', 'Racing']",4.99
288.0,['Strategy'],9.99
289.0,['Simulation'],9.99
290.0,['Simulation'],4.99
291.0,"['Action', 'Adventure']",4.99
292.0,['Casual'],9.99
293.0,['Casual'],9.99
294.0,"['Adventure', 'Casual', 'Indie']",9.99
295.0,['Simulation'],9.99
296.0,"['Adventure', 'Casual']",9.99
297.0,['Adventure'],9.99
298.0,['Action'],0.0
299.0,['Simulation'],19.99
300.0,['Simulation'],19.99
301.0,['Simulation'],9.99
302.0,['RPG'],4.99
303.0,['Casual'],9.99
304.0,['Strategy'],9.99
305.0,"['Adventure', 'Indie']",4.99
306.0,['Action'],14.99
307.0,['Racing'],9.99
308.0,['RPG'],9.99
309.0,['Strategy'],19.99
310.0,['Strategy'],19.99
311.0,['Strategy'],2.99
312.0,['Action'],24.99
313.0,"['RPG', 'Strategy']",9.99
314.0,['Adventure'],19.99
315.0,['Strategy'],19.99
316.0,['Adventure'],17.99
317.0,['Strategy'],9.99
318.0,"['Action', 'Indie']",19.99
319.0,"['Action', 'RPG']",9.99
320.0,['Strategy'],3.99
321.0,['Strategy'],9.99
322.0,"['Action', 'Indie']",9.99
323.0,['Adventure'],9.99
324.0,['RPG'],19.99
325.0,"['Action', 'RPG', 'Indie']",14.99
326.0,"['Indie', 'Casual']",19.99
327.0,['Strategy'],19.99
328.0,['Action'],4.99
329.0,['Adventure'],9.99
330.0,['RPG'],14.99
331.0,['RPG'],9.99
332.0,['Strategy'],4.99
333.0,"['Indie', 'Casual']",19.99
334.0,['Strategy'],4.99
335.0,"['Indie', 'Simulation', 'Strategy']",4.99
336.0,['Simulation'],9.99
337.0,"['Action', 'Adventure', 'RPG']",9.99
338.0,['Action'],9.99
339.0,['Action'],6.99
340.0,['RPG'],14.99
341.0,"['Strategy', 'Indie', 'Simulation']",9.99
342.0,['Simulation'],19.99
343.0,['Simulation'],4.99
344.0,['Simulation'],1.99
345.0,"['Casual', 'Simulation']",9.99
346.0,['Casual'],19.99
347.0,"['Action', 'Adventure']",19.99
348.0,"['Action', 'Indie', 'RPG']",4.99
349.0,['Simulation'],9.99
350.0,"['Action', 'Free to Play', 'Indie']",14.99
351.0,['Casual'],4.99
352.0,['Casual'],19.99
353.0,['Casual'],14.99
354.0,['Casual'],9.99
355.0,['Casual'],9.99
357.0,"['Strategy', 'Casual']",19.99
358.0,"['Adventure', 'Casual']",9.99
359.0,['Strategy'],19.99
360.0,['Adventure'],5.99
361.0,['Sports'],9.99
362.0,"['Action', 'Indie', 'Racing']",9.99
363.0,['Strategy'],9.99
364.0,['Action'],9.99
365.0,['Casual'],1.99
366.0,['Action'],19.99
367.0,"['Action', 'Indie']",9.99
368.0,['Simulation'],9.99
370.0,['Action'],4.99
371.0,"['Action', 'Indie']",9.99
372.0,['Action'],9.99
373.0,['Action'],4.99
374.0,"['Action', 'Adventure']",4.99
375.0,['Indie'],6.99
376.0,"['Action', 'Casual', 'Indie']",6.99
377.0,['Adventure'],6.99
378.0,"['Simulation', 'Strategy']",9.99
379.0,['Simulation'],19.99
380.0,"['Adventure', 'Indie']",0.0
381.0,['Action'],4.99
382.0,['Action'],0.99
383.0,"['Casual', 'Indie']",6.99
384.0,['Casual'],9.99
385.0,"['Casual', 'Indie']",7.49
386.0,['Strategy'],9.99
387.0,['Casual'],19.99
388.0,['Casual'],19.99
389.0,['Casual'],4.99
390.0,['Casual'],4.99
391.0,['Casual'],9.99
392.0,['Casual'],19.99
393.0,['Casual'],4.99
394.0,['Casual'],0.99
395.0,['Casual'],9.99
396.0,"['Action', 'Adventure', 'Casual']",19.99
397.0,"['Action', 'Indie']",9.99
398.0,"['Action', 'Adventure']",4.99
399.0,['Indie'],4.99
400.0,"['Action', 'Indie']",4.99
401.0,['Casual'],4.99
402.0,"['Action', 'Adventure']",1.99
403.0,"['Casual', 'Indie']",9.99
404.0,['Action'],9.99
405.0,['Action'],2.99
406.0,"['Action', 'Adventure', 'Casual', 'RPG']",6.99
407.0,['Action'],6.99
408.0,['Action'],6.99
409.0,['Strategy'],6.99
410.0,['Action'],6.99
411.0,['Action'],6.99
412.0,['Action'],6.99
413.0,['Action'],6.99
414.0,['Action'],6.99
415.0,"['Action', 'RPG']",9.99
416.0,['Action'],0.0
417.0,['RPG'],14.99
418.0,"['Strategy', 'Indie']",0.0
419.0,['RPG'],4.99
420.0,['RPG'],4.99
421.0,['RPG'],19.99
422.0,['Action'],4.99
423.0,['RPG'],2.99
424.0,"['Simulation', 'Strategy']",2.99
425.0,"['Strategy', 'RPG']",61.99
426.0,"['Casual', 'Indie']",2.99
427.0,"['Action', 'Casual', 'Indie']",2.99
428.0,['Strategy'],2.99
429.0,['RPG'],2.99
430.0,['Action'],2.99
431.0,"['Simulation', 'Strategy']",2.99
432.0,['Strategy'],4.99
433.0,['Simulation'],2.99
434.0,['Strategy'],2.99
435.0,['Action'],14.99
436.0,['Simulation'],9.99
437.0,"['RPG', 'Casual']",4.99
438.0,['Action'],0.99
439.0,['Indie'],4.99
440.0,['Indie'],4.99
441.0,['Indie'],4.99
443.0,['Strategy'],4.99
444.0,['Simulation'],19.99
445.0,['Strategy'],14.99
446.0,"['Indie', 'Simulation', 'Strategy']",4.99
447.0,"['Action', 'Simulation', 'Strategy']",9.99
448.0,['Strategy'],3.99
449.0,['Indie'],9.99
450.0,['Action'],9.99
451.0,['Action'],9.99
452.0,['Simulation'],0.99
453.0,['Action'],19.99
454.0,['Strategy'],4.99
455.0,['Adventure'],29.99
456.0,['Casual'],4.99
457.0,['Action'],9.99
458.0,['Action'],9.99
459.0,"['Action', 'Indie']",1.99
460.0,['Strategy'],1.99
461.0,"['Action', 'Adventure', 'Indie']",1.99
462.0,"['RPG', 'Indie']",2.99
463.0,"['Action', 'Casual', 'Indie']",9.99
464.0,"['Action', 'Simulation']",19.99
465.0,['Action'],19.99
466.0,['Simulation'],14.99
467.0,"['Indie', 'Simulation']",8.99
468.0,"['Casual', 'Indie']",19.99
469.0,['Strategy'],0.0
470.0,['Action'],1.99
471.0,"['RPG', 'Strategy']",5.99
472.0,['Simulation'],1.99
473.0,['Strategy'],19.99
474.0,['Strategy'],2.99
475.0,"['Action', 'Indie']",4.99
476.0,"['Indie', 'Strategy']",5.99
477.0,"['Action', 'Adventure']",4.99
478.0,['Action'],9.99
479.0,['Action'],1.99
480.0,"['Action', 'Adventure']",4.99
481.0,"['Simulation', 'Strategy']",3.99
482.0,['Strategy'],19.99
483.0,"['Action', 'RPG', 'Massively Multiplayer']",19.99
484.0,"['Simulation', 'Strategy']",3.99
485.0,"['RPG', 'Strategy']",2.99
486.0,"['Adventure', 'Casual', 'Simulation']",2.99
487.0,"['Adventure', 'Casual', 'Indie', 'Simulation']",4.99
488.0,"['RPG', 'Strategy']",4.99
489.0,"['RPG', 'Strategy']",9.99
490.0,['Action'],14.99
491.0,"['Indie', 'RPG', 'Strategy']",2.99
492.0,"['Action', 'Adventure']",14.99
493.0,"['Adventure', 'Casual', 'Indie']",4.99
494.0,"['Action', 'RPG']",29.99
495.0,"['Action', 'Casual', 'Indie']",4.99
496.0,"['Adventure', 'Indie']",9.99
497.0,"['Indie', 'Racing']",9.99
498.0,['Strategy'],2.99
499.0,"['Action', 'Indie', 'RPG']",9.99
500.0,"['Action', 'Simulation']",0.0
501.0,['Casual'],19.99
502.0,['RPG'],4.99
503.0,['Action'],9.99
504.0,"['Action', 'Adventure']",19.99
505.0,['Adventure'],4.99
506.0,['Action'],9.99
507.0,['Action'],7.99
508.0,"['Action', 'Indie']",14.99
509.0,"['Action', 'Adventure', 'Indie']",9.99
510.0,['Action'],5.99
511.0,"['Action', 'Casual']",19.99
512.0,"['RPG', 'Simulation', 'Strategy']",9.99
513.0,"['Action', 'Casual', 'Indie']",19.99
514.0,"['Simulation', 'Strategy']",4.99
515.0,['Casual'],9.99
516.0,"['Adventure', 'Indie']",6.99
517.0,['Strategy'],4.99
518.0,['Action'],9.99
519.0,['Action'],4.99
520.0,['Casual'],14.99
521.0,['Adventure'],2.99
522.0,"['Casual', 'Indie']",2.99
523.0,"['Strategy', 'Indie']",2.99
524.0,['Action'],2.99
525.0,"['Indie', 'Casual']",4.99
526.0,"['Casual', 'Indie']",2.99
527.0,"['Action', 'Adventure', 'Strategy']",2.99
528.0,"['Indie', 'Casual']",2.99
529.0,"['Action', 'Adventure', 'Strategy']",2.99
530.0,"['Casual', 'Indie']",2.99
531.0,['Adventure'],2.99
532.0,['Action'],9.99
533.0,['Action'],9.99
534.0,"['Action', 'Adventure']",19.99
535.0,"['Action', 'Adventure']",4.99
536.0,"['Action', 'Adventure']",4.99
537.0,"['Action', 'Adventure']",9.99
538.0,['Action'],1.99
539.0,"['Action', 'Indie']",4.99
540.0,"['Action', 'Indie']",4.99
541.0,"['Action', 'Indie', 'Strategy']",1.99
542.0,['Action'],3.99
543.0,"['Adventure', 'Casual']",9.99
544.0,['Adventure'],6.99
545.0,"['Action', 'Strategy', 'Indie', 'Sports']",12.99
546.0,"['Action', 'Adventure', 'Casual']",4.99
547.0,['Action'],9.99
548.0,['RPG'],39.99
549.0,['RPG'],0.99
550.0,['RPG'],4.99
551.0,['Action'],4.99
552.0,['Adventure'],1.99
553.0,['Action'],9.99
554.0,"['Action', 'Adventure']",4.99
555.0,['Action'],19.99
556.0,['RPG'],9.99
557.0,['RPG'],14.99
558.0,['Simulation'],3.49
559.0,['Simulation'],3.49
560.0,['Simulation'],3.49
561.0,['Simulation'],3.49
562.0,['Simulation'],9.99
563.0,['Simulation'],9.99
564.0,['Simulation'],4.99
565.0,"['Casual', 'Indie']",14.99
566.0,['Casual'],19.99
567.0,['Simulation'],9.99
568.0,"['Action', 'Casual', 'Indie']",4.99
569.0,"['Adventure', 'Casual']",2.99
570.0,['Strategy'],4.99
571.0,['RPG'],9.99
572.0,['Casual'],2.99
573.0,['Racing'],2.99
574.0,['RPG'],2.99
575.0,"['Strategy', 'Indie', 'Simulation']",2.99
576.0,['Strategy'],2.99
577.0,"['RPG', 'Strategy']",4.99
578.0,"['Indie', 'Strategy']",2.99
579.0,['RPG'],4.99
580.0,['Strategy'],2.99
581.0,"['Casual', 'Strategy']",4.99
582.0,"['Action', 'Indie']",2.99
583.0,['Action'],2.99
584.0,"['Casual', 'Indie', 'Simulation', 'Strategy']",19.99
585.0,['Indie'],3.99
586.0,['Strategy'],19.99
587.0,['Strategy'],19.99
588.0,['Strategy'],19.99
589.0,['Strategy'],19.99
590.0,"['Free to Play', 'Massively Multiplayer', 'RPG']",19.99
591.0,['Strategy'],4.99
592.0,"['Indie', 'Casual']",14.99
593.0,['Strategy'],19.99
594.0,['Action'],5.99
595.0,['Simulation'],5.99
596.0,['Simulation'],2.99
597.0,['Strategy'],19.99
598.0,['Racing'],0.0
599.0,"['Action', 'Indie', 'Strategy']",19.99
600.0,['Strategy'],3.99
601.0,['Strategy'],6.99
602.0,"['Strategy', 'RPG']",3.99
603.0,"['Action', 'Indie']",9.99
604.0,['Strategy'],4.99
605.0,"['Action', 'Adventure']",19.99
606.0,"['Action', 'RPG']",9.99
607.0,"['Action', 'Casual', 'Indie', 'Strategy']",4.99
608.0,['Strategy'],9.99
609.0,['Strategy'],19.99
610.0,['Strategy'],9.99
611.0,['Strategy'],2.99
612.0,"['Indie', 'Strategy']",0.99
613.0,['Strategy'],0.99
614.0,"['Adventure', 'Indie', 'RPG']",2.99
615.0,"['Action', 'Adventure']",0.99
616.0,"['Adventure', 'Casual', 'Indie']",0.99
618.0,['Simulation'],29.99
619.0,"['Action', 'RPG']",3.99
620.0,"['Action', 'Adventure']",2.99
621.0,['Adventure'],9.99
622.0,['Adventure'],3.99
623.0,['Action'],3.99
624.0,"['Action', 'RPG']",6.99
625.0,['Action'],3.99
626.0,"['Action', 'Free to Play']",9.99
627.0,"['Free to Play', 'Massively Multiplayer', 'RPG']",14.99
628.0,"['Action', 'Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']",9.99
629.0,['Strategy'],3.99
630.0,['Simulation'],9.99
631.0,['Strategy'],9.99
632.0,['Indie'],19.99
633.0,['Strategy'],4.99
634.0,"['Indie', 'Casual']",9.99
635.0,"['Action', 'Casual', 'Indie']",19.99
636.0,"['Strategy', 'Indie']",2.99
637.0,"['Indie', 'Casual']",9.99
638.0,['Strategy'],2.99
639.0,['Strategy'],24.99
640.0,"['Action', 'RPG']",2.99
641.0,['Strategy'],4.99
642.0,['Action'],4.99
643.0,"['Action', 'RPG']",9.99
644.0,"['Action', 'RPG']",19.99
645.0,['Simulation'],5.99
646.0,"['Action', 'RPG']",0.99
647.0,['Strategy'],1.99
648.0,"['Action', 'RPG']",7.99
649.0,['Racing'],7.99
650.0,['Simulation'],14.99
651.0,['Strategy'],14.99
652.0,['Strategy'],19.99
656.0,"['Strategy', 'RPG']",9.99
657.0,['Strategy'],3.99
658.0,"['Adventure', 'Casual']",9.99
660.0,['Strategy'],19.99
661.0,"['Action', 'Adventure', 'Indie']",9.99
662.0,"['Action', 'RPG']",4.99
663.0,['Strategy'],5.99
664.0,['Simulation'],9.99
665.0,"['Indie', 'Casual']",9.99
666.0,['Simulation'],9.99
667.0,['Action'],2.99
668.0,"['Adventure', 'Indie', 'RPG']",9.99
669.0,['Strategy'],19.99
670.0,"['Action', 'Indie']",1.99
671.0,"['Adventure', 'Strategy', 'RPG', 'Indie']",1.99
672.0,"['Action', 'Indie']",19.99
673.0,['Simulation'],1.99
674.0,['Adventure'],1.99
675.0,"['Action', 'Simulation', 'Strategy']",14.99
676.0,"['Casual', 'Indie']",3.99
677.0,"['Simulation', 'Strategy']",6.99
678.0,['Adventure'],1.99
679.0,['Adventure'],4.99
680.0,"['Indie', 'Casual']",4.99
681.0,['Strategy'],4.99
682.0,"['Action', 'Indie']",4.99
683.0,['Strategy'],2.99
684.0,['Strategy'],4.99
685.0,['Indie'],9.99
686.0,['Indie'],7.99
687.0,"['Action', 'Indie', 'RPG', 'Strategy']",3.99
688.0,['Action'],0.99
689.0,['Action'],4.99
690.0,['Action'],6.99
691.0,['Strategy'],0.0
692.0,"['Action', 'RPG']",4.99
693.0,"['Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Strategy']",8.99
694.0,"['Action', 'Adventure', 'RPG']",0.99
695.0,['Action'],9.99
696.0,['Strategy'],1.99
697.0,"['Action', 'Indie']",1.99
698.0,['Strategy'],0.99
699.0,"['Action', 'Indie']",0.99
700.0,"['Action', 'Indie', 'Racing', 'Strategy']",2.99
701.0,"['Action', 'Massively Multiplayer', 'Simulation']",6.99
702.0,"['Action', 'Adventure']",4.99
703.0,['Simulation'],1.99
704.0,['Strategy'],14.99
705.0,"['RPG', 'Simulation', 'Strategy']",6.99
706.0,"['Action', 'Indie']",6.99
707.0,['Adventure'],6.99
708.0,['RPG'],3.99
709.0,"['Action', 'Indie']",6.99
710.0,['Action'],4.99
711.0,"['RPG', 'Strategy']",4.99
712.0,['Strategy'],9.99
713.0,"['Action', 'Adventure', 'Indie', 'RPG']",4.99
714.0,['Simulation'],9.99
715.0,"['Racing', 'Simulation']",3.99
716.0,['Strategy'],2.99
717.0,"['Strategy', 'Indie', 'Casual', 'Simulation']",3.99
718.0,"['Action', 'Racing']",6.99
719.0,"['Strategy', 'Indie', 'Casual', 'Simulation']",4.99
721.0,['Action'],14.99
722.0,"['Action', 'Simulation']",29.99
723.0,"['Strategy', 'Indie', 'Casual', 'Simulation']",7.99
724.0,"['Action', 'Adventure']",14.99
725.0,"['Action', 'Adventure', 'RPG']",3.99
726.0,['Strategy'],9.99
727.0,"['Casual', 'Simulation', 'Strategy']",9.99
728.0,['Simulation'],19.99
729.0,"['Adventure', 'Casual', 'RPG']",9.99
730.0,['Simulation'],5.99
731.0,"['Strategy', 'Indie', 'Simulation']",4.99
732.0,"['Action', 'Indie', 'RPG']",9.99
733.0,"['Indie', 'RPG']",4.99
734.0,"['Casual', 'Indie', 'Strategy']",6.99
735.0,"['Simulation', 'Strategy']",9.99
736.0,['RPG'],4.99
737.0,"['Action', 'Indie']",9.99
738.0,"['Action', 'Indie', 'Strategy']",19.99
739.0,"['Action', 'RPG']",14.99
740.0,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",4.99
741.0,['Action'],6.99
742.0,"['Simulation', 'Strategy']",4.99
743.0,['Action'],14.99
744.0,['Adventure'],18.99
745.0,"['Action', 'Indie', 'Strategy']",1.99
746.0,['Action'],2.99
747.0,"['Adventure', 'Strategy']",4.99
748.0,"['Adventure', 'Strategy']",1.99
749.0,['Strategy'],5.99
750.0,"['Action', 'Indie']",3.99
751.0,"['Action', 'Indie']",19.99
752.0,"['Strategy', 'RPG', 'Indie']",1.99
753.0,"['Indie', 'Casual']",14.99
755.0,"['Indie', 'Racing']",8.99
756.0,"['Action', 'RPG']",9.99
757.0,['Strategy'],19.99
758.0,['Strategy'],5.99
759.0,"['Action', 'RPG']",4.99
760.0,['Strategy'],4.99
761.0,['Strategy'],4.99
762.0,['Action'],9.99
763.0,['Strategy'],14.99
764.0,['Simulation'],8.99
765.0,"['Action', 'Free to Play', 'Massively Multiplayer']",1.99
